data_id	user_id	user_height	user_weight	design_type	unique_code	posture_type	adjust_type	headrest_height	headrest_front	back_angle	cushion_lifting	seat_height	leg_extension	leg_angle	slide_rail	left_flank	right_wing	waist_support	m_mhg	m_data	update_time	create_time
7154	119	172	65	1	94f5f4e7	0	1	0	0	0	0	0	0	0	0	0	0	0	1208	[[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,2,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,5,1,0,0,0,0],[0,0,4,14,13,12,18,9,11,0],[0,0,8,18,16,10,18,6,25,0],[0,0,0,14,10,12,24,13,14,0],[0,0,0,14,9,8,21,1,0,0],[0,0,0,1,0,0,1,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,1,2,5,14,11,3,0,0],[0,0,9,12,19,31,18,9,0,0],[0,0,23,24,23,38,22,19,0,0],[0,0,25,21,19,38,30,18,0,0],[0,0,32,27,13,32,25,19,0,0],[0,0,24,23,6,26,27,16,0,0],[0,0,16,18,8,27,19,8,0,0],[0,0,9,16,4,10,17,2,0,0],[0,0,0,0,3,0,8,0,0,0],[0,0,0,0,5,0,0,0,0,0]]	2025/10/15 15:23:31	2025/10/15 14:29:10
7155	119	172	65	1	94f5f4e7	0	1	0	0	0	0	0	0	0	0	0	0	0	1559	[[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,7,6,0,0,0,0],[0,0,6,3,0,0,0,0,0,0],[0,0,6,12,0,0,0,0,0,0],[0,0,0,19,1,1,10,4,0,0],[0,0,0,17,10,4,17,2,0,0],[0,0,0,14,12,11,10,2,0,0],[0,0,0,11,8,11,13,0,0,0],[0,0,2,8,10,11,11,7,0,0],[0,0,1,9,14,11,21,1,0,0],[0,0,10,20,38,29,37,39,0,0],[0,0,21,31,60,33,39,45,0,0],[0,0,27,33,40,28,41,54,0,0],[0,0,24,32,35,26,41,42,0,0],[0,0,23,30,28,21,32,38,0,0],[0,0,14,21,12,12,29,25,0,0],[0,0,12,18,5,15,21,11,0,0],[0,0,3,12,0,0,6,0,0,0],[0,0,0,0,4,1,2,0,0,0],[0,0,0,0,8,0,3,0,0,0]]	2025/10/15 15:23:31	2025/10/15 14:29:10
7156	119	172	65	1	94f5f4e7	0	1	0	0	0	0	0	0	0	0	0	0	0	1781	[[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,6,2,0,0,0,0],[0,0,6,7,8,16,12,4,9,0],[0,0,15,15,16,13,9,6,18,0],[0,0,7,22,19,17,12,6,16,0],[0,0,4,18,20,12,12,0,8,0],[0,0,5,17,16,13,6,0,0,0],[0,0,1,17,12,6,5,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,12,17,27,35,32,19,0,0],[0,0,22,30,41,41,35,28,0,0],[0,0,30,38,36,44,39,37,0,0],[0,0,28,37,35,40,41,32,0,0],[0,0,29,37,30,36,35,31,0,0],[0,0,21,25,14,24,35,29,0,0],[0,0,15,18,16,28,30,17,0,0],[0,0,7,14,7,7,21,8,0,0],[0,0,0,0,6,3,7,2,0,0],[0,0,0,0,10,4,1,0,0,0]]	2025/10/15 15:23:31	2025/10/15 14:29:10
7157	119	172	65	1	94f5f4e7	0	1	0	0	0	0	0	0	0	0	0	0	0	1612	[[0,0,0,0,2,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,3,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,6,2,0,0,0,0],[0,0,2,5,6,11,9,0,4,0],[0,0,13,13,17,9,7,4,13,0],[0,0,2,19,19,15,17,5,10,0],[0,0,2,18,27,11,22,2,1,0],[0,0,3,17,19,14,11,0,0,0],[0,0,0,13,13,11,9,0,0,0],[0,0,0,0,3,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,9,14,23,32,26,14,0,0],[0,0,19,26,34,37,30,24,0,0],[0,0,27,34,33,42,35,33,0,0],[0,0,24,32,30,39,38,28,0,0],[0,0,26,32,25,34,33,28,0,0],[0,0,21,21,11,27,33,27,0,0],[0,0,14,16,14,30,27,14,0,0],[0,0,5,11,5,8,20,5,0,0],[0,0,0,0,5,2,8,2,0,0],[0,0,0,0,9,3,2,0,0,0]]	2025/10/15 15:23:31	2025/10/15 14:29:10
7158	119	172	65	1	94f5f4e7	0	1	0	0	0	0	0	0	0	0	0	0	0	2013	[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,3,0,0,0,0,0],[0,0,0,0,2,2,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,11,10,14,16,17,11,10,0],[0,0,20,15,19,17,14,11,21,0],[0,0,5,16,18,18,16,10,18,0],[0,0,4,17,20,12,14,3,7,0],[0,0,6,17,18,16,9,1,0,0],[0,0,1,15,12,8,9,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,15,21,29,39,36,23,0,0],[0,0,27,34,44,44,39,31,0,0],[0,0,34,40,38,45,42,41,0,0],[0,0,30,42,37,43,43,35,0,0],[0,0,32,41,33,38,37,33,0,0],[0,0,26,28,18,28,38,33,0,0],[0,0,20,22,19,30,32,22,0,0],[0,0,12,18,10,9,23,13,0,0],[0,0,0,0,7,4,7,3,0,0],[0,0,0,1,10,5,3,0,0,0]]	2025/10/15 15:23:31	2025/10/15 14:29:10
7159	119	172	65	1	94f5f4e7	0	1	0	0	0	0	0	0	0	0	0	0	0	2137	[[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,2,0,0,0,0,0],[0,0,0,0,9,12,0,0,0,0],[0,0,0,0,3,4,0,0,0,0],[0,0,0,0,2,1,0,0,0,0],[0,0,0,0,3,0,0,0,0,0],[0,0,9,11,11,16,21,13,9,0],[0,0,15,15,15,15,16,13,20,0],[0,0,6,17,14,18,17,12,15,0],[0,0,5,16,18,13,16,6,4,0],[0,0,4,18,18,19,12,4,0,0],[0,0,2,15,14,11,12,2,0,0],[0,0,0,0,2,0,0,0,0,0],[0,0,0,0,1,0,1,0,0,0],[0,0,16,22,32,40,38,24,0,0],[0,0,28,35,46,46,40,32,0,0],[0,0,35,41,40,47,43,41,0,0],[0,0,31,43,38,45,44,36,0,0],[0,0,34,42,34,40,38,34,0,0],[0,0,28,29,20,31,40,35,0,0],[0,0,22,24,20,32,34,24,0,0],[0,0,15,20,13,11,25,16,0,0],[0,0,0,2,7,5,7,2,0,0],[0,0,0,1,11,6,3,1,0,0]]	2025/10/15 15:23:31	2025/10/15 14:29:10
7160	119	172	65	1	94f5f4e7	0	1	0	0	0	0	0	0	0	0	0	0	0	1097	[[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,2,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,5,4,0,0,0,0],[0,0,4,17,8,9,13,7,15,0],[0,0,9,16,11,9,12,6,29,0],[0,0,0,12,8,7,20,8,15,0],[0,0,0,9,9,5,15,1,3,0],[0,0,0,5,0,0,1,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,5,10,14,11,3,0,0],[0,0,10,14,23,25,19,11,0,0],[0,0,22,23,22,20,22,20,0,0],[0,0,27,28,21,19,23,17,0,0],[0,0,27,30,18,13,20,15,0,0],[0,0,16,21,7,12,24,11,0,0],[0,0,13,24,18,19,18,6,0,0],[0,0,5,26,7,3,14,1,0,0],[0,0,0,6,4,0,3,1,0,0],[0,0,0,3,5,0,0,0,0,0]]	2025/10/15 15:23:31	2025/10/15 14:29:10
7161	119	172	65	1	94f5f4e7	0	1	0	0	0	0	0	0	0	0	0	0	0	1918	[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,2,2,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,11,11,13,16,14,11,8,0],[0,0,18,16,18,15,11,14,20,0],[0,0,6,18,18,19,13,8,20,0],[0,0,7,18,18,13,14,4,6,0],[0,0,6,17,17,16,8,0,0,0],[0,0,2,15,12,7,7,0,0,0],[0,0,0,0,2,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,14,19,28,38,35,21,0,0],[0,0,25,31,42,42,37,30,0,0],[0,0,32,38,36,45,41,39,0,0],[0,0,29,40,36,41,42,33,0,0],[0,0,31,39,32,37,35,32,0,0],[0,0,24,26,15,26,36,31,0,0],[0,0,19,19,17,28,30,20,0,0],[0,0,10,15,9,7,22,12,0,0],[0,0,0,0,6,3,6,2,0,0],[0,0,0,2,10,5,2,0,0,0]]	2025/10/15 15:23:31	2025/10/15 14:29:10
7162	119	172	65	1	94f5f4e7	0	1	0	0	0	0	0	0	0	0	0	0	0	2082	[[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,5,7,0,0,0,0],[0,0,0,0,3,3,0,0,0,0],[0,0,0,0,2,2,0,0,0,0],[0,0,0,0,2,0,0,0,0,0],[0,0,9,11,13,15,19,11,8,0],[0,0,14,14,16,16,17,13,17,0],[0,0,5,16,16,20,18,10,12,0],[0,0,6,16,21,13,16,5,2,0],[0,0,6,18,18,18,11,3,0,0],[0,0,2,14,12,14,11,0,0,0],[0,0,0,0,3,0,0,0,0,0],[0,0,0,0,1,0,3,0,0,0],[0,0,15,22,31,40,37,24,0,0],[0,0,28,34,45,45,39,31,0,0],[0,0,34,41,39,46,43,41,0,0],[0,0,31,42,37,43,44,35,0,0],[0,0,34,42,34,39,38,34,0,0],[0,0,26,28,19,29,39,34,0,0],[0,0,21,23,19,31,33,23,0,0],[0,0,13,19,11,10,24,14,0,0],[0,0,0,1,9,5,8,3,0,0],[0,0,0,1,11,5,2,4,0,0]]	2025/10/15 15:23:31	2025/10/15 14:29:10
7163	119	172	65	1	94f5f4e7	0	1	0	0	0	0	0	0	0	0	0	0	0	2325	[[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,6,7,0,0,0,0],[0,0,0,0,4,4,0,0,0,0],[0,0,0,0,3,2,0,0,0,0],[0,0,0,0,8,5,0,0,0,0],[0,0,12,12,14,17,19,16,11,0],[0,0,21,17,18,17,15,18,21,0],[0,0,7,18,16,20,19,14,16,0],[0,0,8,18,20,14,18,9,6,0],[0,0,8,20,19,20,13,7,0,0],[0,0,4,17,14,13,14,3,0,0],[0,0,0,2,3,1,0,0,0,0],[0,0,0,0,2,0,3,0,0,0],[0,0,17,24,33,42,39,26,0,0],[0,0,30,36,48,47,41,34,0,0],[0,0,36,44,40,48,44,43,0,0],[0,0,33,44,40,46,45,37,0,0],[0,0,36,43,35,42,40,37,0,0],[0,0,31,32,22,33,40,36,0,0],[0,0,25,27,23,35,35,25,0,0],[0,0,19,22,16,14,28,18,0,0],[0,0,1,5,8,5,9,3,0,0],[0,0,0,2,12,6,7,1,0,0]]	2025/10/15 15:23:31	2025/10/15 14:29:10
